UNITID,OPEID,INSTNM,CITY,Year,UGDS,MAIN,NUMBRANCH,HIGHDEG,REGION,LOCALE,LOCALE2,CCSIZSET,PCTPELL,AVGFACSAL,PFTFAC,PRGMOFR,BOOKSUPPLY,ROOMBOARD_ON,ROOMBOARD_OFF,OTHEREXPENSE_ON,OTHEREXPENSE_OFF,ADMCON7,MDCOST_ALL,MDEARN_ALL,UGDS_WOMEN,UGDS_MEN,ADM_RATE,SAT_AVG,ACTCMMID,RET_FT4,C150_4,MD_EARN_WNE_P10,TUITIONFEE_IN,TUITIONFEE_OUT,UGDS_WHITE,UGDS_BLACK,UGDS_HISP,UGDS_ASIAN,OPENADMP,won,lost,tied,notes,win_percentage
100663,00105200,University of Alabama at Birmingham,Birmingham,1996,9889.0,1,2,4,5,,,,,5988.0,,,,,,,,,,,0.5678,0.4322,,,,,,,,,,,,,,10.0,3.0,,,0.7692307692307693
100858,00100900,Auburn University,Auburn,1996,18337.0,1,1,4,5,,,,,5519.0,,,,,,,,,,,0.4793,0.5207,,,,,,,,,,,,,,8.0,4.0,,,0.6666666666666666
104151,00108100,Arizona State University Campus Immersion,Tempe,1996,30680.0,1,3,4,6,,,,,6228.0,,,,,,,,,,,0.5056,0.4944,,,,,,,,,,,,,,5.0,6.0,,,0.45454545454545453
104151,00108100,Arizona State University Campus Immersion,Tempe,1996,30680.0,1,3,4,6,,,,,6228.0,,,,,,,,,,,0.5056,0.4944,,,,,,,,,,,,,,11.0,1.0,,,0.9166666666666666
106397,00110800,University of Arkansas,Fayetteville,1996,11524.0,1,1,4,5,,,,,5469.0,,,,,,,,,,,0.4736,0.5264,,,,,,,,,,,,,,4.0,7.0,,,0.36363636363636365
106458,00109000,Arkansas State University,Jonesboro,1996,8762.0,1,3,4,5,,,,,4722.0,,,,,,,,,,,0.5544,0.4456,,,,,,,,,,,,,,4.0,7.0,,,0.36363636363636365
110635,00131200,University of California-Berkeley,Berkeley,1996,21226.0,1,1,4,8,,,,,8512.0,,,,,,,,,,,0.4865,0.5135,,,,,,,,,,,,,,6.0,6.0,,,0.5
122409,00115100,San Diego State University,San Diego,1996,24239.0,1,1,4,8,,,,,6541.0,,,,,,,,,,,0.549,0.451,,,,,,,,,,,,,,8.0,3.0,,,0.7272727272727273
122755,00115500,San Jose State University,San Jose,1996,20489.0,1,1,4,8,,,,,6485.0,,,,,,,,,,,0.5134,0.4866,,,,,,,,,,,,,,3.0,9.0,,,0.25
123961,00132800,University of Southern California,Los Angeles,1996,14586.0,1,1,4,8,,,,,7735.0,,,,,,,,,,,0.4796,0.5204,,,,,,,,,,,,,,6.0,6.0,,,0.5
